Sr No.,Entrepreneur Name,From,Business,Deal,Original Ask,Final Offer,Investors
91,Gaurav and Sharad Ashani,Mumbai,Safety Fan Rod (Gold Life),Deal,₹50 lakhs5% Equity,₹50 lakhs30% Equity,"Peyush, Ghazal, Vineeta"
92,Sairaj Gaurish Dhond,Goa,Jackfruit Products(Wakao Foods),Deal,₹75 lakhs5% Equity,₹75 lakhs21% Equity,"Ghazal, Vineeta, Namita"
93,Chirag and Sneha,Mumbai,Stainless Steel Products(PDD Falcon),No Deal,₹75 lakhs3% Equity,₹75 lakhs21% Equity,Ghazal
94,Soham and Aamir,Mumbai,OTT & Live TV Channels (PlayboxTV),No Deal,₹1 crore3.5% Equity,No Offer,N/A
95,Rohit Warrier,Pune,Drinking Shields(Sippline),No Deal,₹75 lakhs15% Equity,No Offer,N/A
96,Arvind and Suhail,Mumbai,Kabaddi League (Kabaddi Adda),Deal,₹80 lakhs1% Equity,₹80 lakhs6% Equity,"Namita, Vineeta"
97,Nidhi and Anuj,Mumbai,Fresh Flowers (Shades of Spring),No Deal,₹3 crore1% Equity,No Offer,N/A
98,Mayank Pareekh,Bangalore,Scholarship Provider App(Scholify),No Deal,₹50 lakhs7.5% Equity,No Offer,N/A
99,Madhu and Shikha Shah,Varanasi,Decor Items Made From Scrap(ScrapShala),No Deal,₹50 lakhs10% Equity,No Offer,N/A
100,Nikky and Rashmi Jha,Kanpur,Cold Storage Device(Sabjikothi),No Deal,₹60 lakhs2.5% Equity,No Offer,N/A
101,"Sandeep, Abhilesh, Ramanath",Mumbai,Ayurvedic Wellness App (Ayurythm),Deal,₹75 lakhs2% Equity,₹75 lakhs2.68% Equity,Aman
102,Kowshik and Sreepriya,Coimbatore,Smartphone Compatible Locks(Astrix Engineering Pvt. Ltd),No Deal,₹75 lakhs3% Equity,No Offer,N/A
103,Ashwini and Aditi,Mumbai,Silver Rings (Thea and Sid),No Deal,₹80 lakhs7% Equity,No Offer,N/A
104,Prashant and Karan,Mumbai,Holobyk(ExperientialEtc),No Deal,₹2 crore4% Equity,No Offer,N/A
105,Sanmati and Harshit,Mumbai,Reward based Fitness App(GrowFitter),Deal,₹50 lakhs1% Equity,₹50 lakhs2% Equity,Aman
106,Yash and Alisha Nagarsheth,Ahmedabad,Eye-screening Devices(C3 Med-Tech),No Deal,₹35 lakhs6% Equity,₹35 lakhs33.33% Equity,Peyush
107,Rajeev and Trishla Surana,Mumbai,Footwear(Colour Me Mad),Deal,₹40 lakhs10% Equity,₹40 lakhs25% Equity,Namita
108,Vikram and Minakshi,Mumbai,Fermented Drinks(Mavi’s),No Deal,₹40 lakhs5% Equity,No Offer,N/A
109,"Shwetank, Anant, Ayush, Aman",New Delhi,Sportswear (Tweak Labs),Deal,₹40 lakhs2% Equity,₹60 lakhs10% Equity,"Anupam, Peyush, Ashneer"
110,Pulkit and Inderjit,Mumbai,Human Proxy (Proxgy),Deal,₹35 lakhs1% Equity,₹1 crore10% Equity,"Peyush, Ashneer"
111,Advaith and Aditya,Pune,Bacon Jams (Nomad Food Project),Deal,₹40 lakhs10% Equity,₹40 lakhs20% Equity,"Vineeta, Namita, Ghazal, Ashneer"
112,Niti Singhal,Mumbai,Reversible and Convertible Outfits(Twee In One),No Deal,₹30 lakhs7.5% Equity,No Offer,N/A
113,Madhavi and Satish Datwani,Mumbai,Plant-based Beverages(Green Protein),No Deal,₹60 lakhs2% Equity,₹60 lakhs15% Equity,"Aman, Vineeta, Ghazal"
114,Sanandan Sudhir,Ahmedabad,Smart Cooking Device (On2Cook),No Deal,₹1 crore1% Equity,No Offer,N/A
115,"Supreet, Manish, Rupali",Mumbai,Washroom Finder App(Woloo),No Deal,₹50 lakhs4% Equity,₹25 lakhs10% Equity₹25 lakhsDebt,Namita
116,Anubhav Jain,Modinagar,Lemon Shikanji(Jain Shikanji),Deal,₹40 lakhs8% Equity,₹40 lakhs30% Equity,"Aman, Anupam, Ashneer, Vineeta"
117,"Pankaj, Aashna, Suresh",Gurugram,Carenting for Elders(Elcare),No Deal,₹1 crore2.5% Equity,No Offer,N/A
